ID	Population	Habitat
P22002_101	Alnarp_pond	forest
P22002_102	Alnarp_pond	forest
P22002_103	Alnarp_pond	forest
P22002_104	Alnarp_pond	forest
P22002_105	Alnarp_pond	forest
P22002_106	Alnarp_pond	forest
P22002_107	Alnarp_pond	forest
P22002_108	Alnarp_pond	forest
P22002_109	Alnarp_pond	forest
P22002_110	Alnarp_pond	forest
P22002_111	Alnarp_pond	forest
P22002_112	Alnarp_pond	forest
P22002_113	Habo_Ljung	forest
P22002_114	Habo_Ljung	forest
P22002_115	Habo_Ljung	forest
P22002_116	Habo_Ljung	forest
P22002_117	Habo_Ljung	forest
P22002_118	Habo_Ljung	forest
P22002_119	Habo_Ljung	forest
P22002_120	Habo_Ljung	forest
P22002_121	Habo_Ljung	forest
P22002_122	Habo_Ljung	forest
P22002_123	Habo_Ljung	forest
P22002_124	Habo_Ljung	forest
P22002_125	Lund	urban
P22002_126	Lund	urban
P22002_127	Lund	urban
P22002_128	Lund	urban
P22002_129	Lund	urban
P22002_130	Lund	urban
P22002_131	Lund	urban
P22002_132	Lund	urban
P22002_133	Lund	urban
P22002_134	Lund	urban
P22002_135	Lund	urban
P22002_136	Lund	urban
P22002_137	Borgeby	rural
P22002_138	Borgeby	rural
P22002_139	Borgeby	rural
P22002_140	Borgeby	rural
P22002_141	Borgeby	rural
P22002_142	Borgeby	rural
P22002_143	Borgeby	rural
P22002_144	Borgeby	rural
P22002_145	Borgeby	rural
P22002_146	Borgeby	rural
P22002_147	Borgeby	rural
P22002_148	Borgeby	rural
P22002_149	Kämpinge	beach
P22002_150	Kämpinge	beach
P22002_151	Kämpinge	beach
P22002_152	Kämpinge	beach
P22002_153	Kämpinge	beach
P22002_154	Kämpinge	beach
P22002_155	Kämpinge	beach
P22002_156	Kämpinge	beach
P22002_157	Kämpinge	beach
P22002_158	Kämpinge	beach
P22002_159	Kämpinge	beach
P22002_160	Kämpinge	beach
P22002_161	Lomma_beach	beach
P22002_162	Lomma_beach	beach
P22002_163	Lomma_beach	beach
P22002_164	Lomma_beach	beach
P22002_165	Lomma_beach	beach
P22002_166	Lomma_beach	beach
P22002_167	Lomma_beach	beach
P22002_168	Lomma_beach	beach
P22002_169	Lomma_beach	beach
P22002_170	Lomma_beach	beach
P22002_171	Lomma_beach	beach
P22002_172	Lomma_beach	beach
P22002_173	Tvedöra	rural
P22002_174	Tvedöra	rural
P22002_175	Tvedöra	rural
P22002_176	Tvedöra	rural
P22002_177	Tvedöra	rural
P22002_178	Tvedöra	rural
P22002_179	Tvedöra	rural
P22002_180	Tvedöra	rural
P22002_181	Tvedöra	rural
P22002_182	Tvedöra	rural
P22002_183	Tvedöra	rural
P22002_184	Tvedöra	rural
P22002_185	Malmö	urban
P22002_186	Malmö	urban
P22002_187	Malmö	urban
P22002_188	Malmö	urban
P22002_189	Malmö	urban
P22002_190	Malmö	urban
P22002_191	Malmö	urban
P22002_192	Malmö	urban
P22002_193	Malmö	urban
P22002_194	Malmö	urban
P22002_195	Malmö	urban
P22002_196	Malmö	urban
