sampleID	Seq_ID	label	well	plate	sample_id	population_id	population	site	habitat	humidity	light	type	spp
D98	D98	98	2	2	A.2R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D99	D99	99	3	2	A.3R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D100	D100	100	4	2	A.4R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D101	D101	101	5	2	A.5R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D102	D102	102	6	2	A.6R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D103	D103	103	7	2	A.7R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D104	D104	104	8	2	A.8R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D105	D105	105	9	2	A.1XR	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Lycopus_europaeus
D106	D106	106	10	2	A.2XR	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Lycopus_europaeus
D108	D108	108	12	2	B.2R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D109	D109	109	13	2	B.3R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D110	D110	110	14	2	B.4R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D111	D111	111	15	2	B.5R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D112	D112	112	16	2	B.6R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D113	D113	113	17	2	B.7R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D114	D114	114	18	2	B.8R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D115	D115	115	19	2	B.1XR	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Lycopus_europaeus
D116	D116	116	20	2	B.2XR	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Lycopus_europaeus
D118	D118	118	22	2	C.2R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D119	D119	119	23	2	C.3R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D120	D120	120	24	2	C.4R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
