ID	Population
P22002_101	Alnarp_pond
P22002_102	Alnarp_pond
P22002_103	Alnarp_pond
P22002_104	Alnarp_pond
P22002_105	Alnarp_pond
P22002_106	Alnarp_pond
P22002_107	Alnarp_pond
P22002_108	Alnarp_pond
P22002_109	Alnarp_pond
P22002_110	Alnarp_pond
P22002_111	Alnarp_pond
P22002_112	Alnarp_pond
P22002_113	Habo_Ljung
P22002_114	Habo_Ljung
P22002_115	Habo_Ljung
P22002_116	Habo_Ljung
P22002_117	Habo_Ljung
P22002_118	Habo_Ljung
P22002_119	Habo_Ljung
P22002_120	Habo_Ljung
P22002_121	Habo_Ljung
P22002_122	Habo_Ljung
P22002_123	Habo_Ljung
P22002_124	Habo_Ljung
P22002_125	Lund
P22002_126	Lund
P22002_127	Lund
P22002_128	Lund
P22002_129	Lund
P22002_130	Lund
P22002_131	Lund
P22002_132	Lund
P22002_133	Lund
P22002_134	Lund
P22002_135	Lund
P22002_136	Lund
P22002_137	Borgeby
P22002_138	Borgeby
P22002_139	Borgeby
P22002_140	Borgeby
P22002_141	Borgeby
P22002_142	Borgeby
P22002_143	Borgeby
P22002_144	Borgeby
P22002_145	Borgeby
P22002_146	Borgeby
P22002_147	Borgeby
P22002_148	Borgeby
P22002_149	Kämpinge
P22002_150	Kämpinge
P22002_151	Kämpinge
P22002_152	Kämpinge
P22002_153	Kämpinge
P22002_154	Kämpinge
P22002_155	Kämpinge
P22002_156	Kämpinge
P22002_157	Kämpinge
P22002_158	Kämpinge
P22002_159	Kämpinge
P22002_160	Kämpinge
P22002_161	Lomma_beach
P22002_162	Lomma_beach
P22002_163	Lomma_beach
P22002_164	Lomma_beach
P22002_165	Lomma_beach
P22002_166	Lomma_beach
P22002_167	Lomma_beach
P22002_168	Lomma_beach
P22002_169	Lomma_beach
P22002_170	Lomma_beach
P22002_171	Lomma_beach
P22002_172	Lomma_beach
P22002_173	Tvedöra
P22002_174	Tvedöra
P22002_175	Tvedöra
P22002_176	Tvedöra
P22002_177	Tvedöra
P22002_178	Tvedöra
P22002_179	Tvedöra
P22002_180	Tvedöra
P22002_181	Tvedöra
P22002_182	Tvedöra
P22002_183	Tvedöra
P22002_184	Tvedöra
P22002_185	Malmö
P22002_186	Malmö
P22002_187	Malmö
P22002_188	Malmö
P22002_189	Malmö
P22002_190	Malmö
P22002_191	Malmö
P22002_192	Malmö
P22002_193	Malmö
P22002_194	Malmö
P22002_195	Malmö
P22002_196	Malmö
