pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
B1-B1,B1,B1,0,0.3552367548701197,0.5399740616707289,0.4452399168066873,0
B1-B2,B1,B2,0.258282,0.41610196732221577,0.645766120149006,0.4862768766597257,31.2
B1-F1,B1,F1,0.543824,0.4676363040399805,0.7206181334848165,0.5929264239139499,1.9
B1-F2,B1,F2,0.261133,0.47968911635972755,0.5937382318349138,0.5248927604023006,2.3
B1-R1,B1,R1,0.601512,0.45016894884833547,0.6386849867209891,0.69840532111011,9.2
B1-R2,B1,R2,0.479374,0.5328504576105334,0.5313886108884271,0.527849286370081,24.2
B1-U1,B1,U1,0.402356,0.44356963211817424,0.6813813645744351,0.48914142023555274,10.2
B1-U2,B1,U2,0.408897,0.40006811504034806,0.6090585673134982,0.4826920575261359,11.9
B2-B1,B2,B1,0.258282,0.41610196732221577,0.645766120149006,0.4862768766597257,31.2
B2-B2,B2,B2,0,0.2221031536346806,0.5178753520467912,0.40061520368375864,0
B2-F1,B2,F1,0.515139,0.2749212950178312,0.7757133691187116,0.5911407097268662,30.2
B2-F2,B2,F2,0.265697,0.274470036234564,0.678899782321288,0.5347042181701468,33.5
B2-R1,B2,R1,0.568833,0.33411539690221137,0.7309667809233756,0.7149643255296491,40.3
B2-R2,B2,R2,0.428686,0.31543645542330817,0.6614583047455418,0.5239507851238993,45.5
B2-U1,B2,U1,0.378396,0.3060605077753783,0.6048349843934683,0.4482414497099848,37.9
B2-U2,B2,U2,0.383128,0.31591580629893906,0.6590029950462897,0.46233057443253356,22.4
F1-B1,F1,B1,0.543824,0.4676363040399805,0.7206181334848165,0.5929264239139499,1.9
F1-B2,F1,B2,0.515139,0.2749212950178312,0.7757133691187116,0.5911407097268662,30.2
F1-F1,F1,F1,0,0.2632260804931784,0.585935252824923,0.3944280103537157,0
F1-F2,F1,F2,0.448256,0.27930896126471466,0.6640038388314738,0.45776222167148867,3.9
F1-R1,F1,R1,0.598703,0.365203005513448,0.6601956502530464,0.5630910428192917,10.8
F1-R2,F1,R2,0.531914,0.3000944130012716,0.677244266515271,0.46929219831391494,3.8
F1-U1,F1,U1,0.459241,0.34308720528309816,0.7564038306098497,0.45536377839322906,9.7
F1-U2,F1,U2,0.537825,0.3572752553627533,0.6619182972710771,0.4907330326744506,11.9
F2-B1,F2,B1,0.261133,0.47968911635972755,0.5937382318349138,0.5248927604023006,2.3
