pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
B1-B1,B1,B1,0,0.3557141691202686,0.5961961147568561,0.5479383681387133,0
B1-B2,B1,B2,0.258282,0.41642049841362927,0.7447551354158406,0.5997961819837823,31.2
B1-F1,B1,F1,0.543824,0.46846987423712827,0.7743384791230417,0.7193986431715131,1.9
B1-F2,B1,F2,0.261133,0.4828355498825536,0.671754132192066,0.6453899672982703,2.3
B1-R1,B1,R1,0.601512,0.4504553660453273,0.6903968482812947,0.7863937005819546,9.2
B1-R2,B1,R2,0.479374,0.5363378188892588,0.6120494062292412,0.6555608932528468,24.2
B1-U1,B1,U1,0.402356,0.4438962951714382,0.7818340885179119,0.6303859591918001,10.2
B1-U2,B1,U2,0.408897,0.40059416210011334,0.6724252203119824,0.6147124922413183,11.9
B2-B1,B2,B1,0.258282,0.41642049841362927,0.7447551354158406,0.5997961819837823,31.2
B2-B2,B2,B2,0,0.22215781525143452,0.616080587503198,0.49663578977348205,0
B2-F1,B2,F1,0.515139,0.2754876813371233,0.8536487206031348,0.7191159023256255,30.2
B2-F2,B2,F2,0.265697,0.27717599234490303,0.7942190281024072,0.6432215069699446,33.5
B2-R1,B2,R1,0.568833,0.33418363777571464,0.7922841546112983,0.7982883126050576,40.3
B2-R2,B2,R2,0.428686,0.3189940646180197,0.7683614768158874,0.6393606439571667,45.5
B2-U1,B2,U1,0.378396,0.3061771562427723,0.7617289636487786,0.5986990650137833,37.9
B2-U2,B2,U2,0.383128,0.3163286202316002,0.7458383430040307,0.5987233422201161,22.4
F1-B1,F1,B1,0.543824,0.46846987423712827,0.7743384791230417,0.7193986431715131,1.9
F1-B2,F1,B2,0.515139,0.2754876813371233,0.8536487206031348,0.7191159023256255,30.2
F1-F1,F1,F1,0,0.2639920987502364,0.6026644329987101,0.45251189321803925,0
F1-F2,F1,F2,0.448256,0.2815952819629145,0.6946529357456367,0.5480242704248957,3.9
F1-R1,F1,R1,0.598703,0.36565031606548376,0.6969063698075895,0.6323659088616457,10.8
F1-R2,F1,R2,0.531914,0.30318149678280976,0.7175450260631477,0.578918284109574,3.8
F1-U1,F1,U1,0.459241,0.34389783713034966,0.8098181874363362,0.5442795263703392,9.7
F1-U2,F1,U2,0.537825,0.3581358983350667,0.7012709870397504,0.5646819498940696,11.9
F2-B1,F2,B1,0.261133,0.4828355498825536,0.671754132192066,0.6453899672982703,2.3
F2-B2,F2,B2,0.265697,0.27717599234490303,0.7942190281024072,0.6432215069699446,33.5
F2-F1,F2,F1,0.448256,0.2815952819629145,0.6946529357456367,0.5480242704248957,3.9
F2-F2,F2,F2,0,0.28019717365481556,0.5270709235042504,0.38409917001693245,0
F2-R1,F2,R1,0.396295,0.3755455064358245,0.6613458686357757,0.6760166788668065,7
F2-R2,F2,R2,0.301497,0.3115834645054701,0.5740399667603444,0.49814677369148813,24
F2-U1,F2,U1,0.22885,0.34947841392369733,0.7509980316484943,0.5173097734575541,9.6
F2-U2,F2,U2,0.387089,0.3587799272494405,0.6603264452648102,0.5265707247997254,13.4
R1-B1,R1,B1,0.601512,0.4504553660453273,0.6903968482812947,0.7863937005819546,9.2
