pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
B1-B1,B1,B1,0,0.23677503812472167,0.4884775173629695,0.37547705161507344,0
B1-B2,B1,B2,0.258282,0.34443715357649773,0.5449356304654643,0.41592388755344695,31.2
B1-F1,B1,F1,0.543824,0.4029414567634386,0.542618579013919,0.49314638318921,1.9
B1-F2,B1,F2,0.261133,0.41114272200285085,0.49476618868951777,0.44958609452162446,2.3
B1-R1,B1,R1,0.601512,0.386554929204319,0.515448452546931,0.5872467215182556,9.2
B1-R2,B1,R2,0.479374,0.5024153573100991,0.4561928766730601,0.4377002431251471,24.2
B1-U1,B1,U1,0.402356,0.35643471003095367,0.5698587729088835,0.41896231515555155,10.2
B1-U2,B1,U2,0.408897,0.30107540614182354,0.48080671946217785,0.4128703275300673,11.9
B2-B1,B2,B1,0.258282,0.34443715357649773,0.5449356304654643,0.41592388755344695,31.2
B2-B2,B2,B2,0,0.20199537381783683,0.4109974730167846,0.3504464039291378,0
B2-F1,B2,F1,0.515139,0.26233153633406725,0.6841618989836671,0.5230927513206214,30.2
B2-F2,B2,F2,0.265697,0.25751284850422895,0.5805486948817944,0.4766427297839856,33.5
B2-R1,B2,R1,0.568833,0.3143752354960722,0.6369931742655798,0.643414231662397,40.3
B2-R2,B2,R2,0.428686,0.29272092388801296,0.5587362039702883,0.44878445342114,45.5
B2-U1,B2,U1,0.378396,0.2887737427019301,0.4899141065325678,0.39146981716747786,37.9
B2-U2,B2,U2,0.383128,0.19290484069572902,0.5448032887925807,0.39932791136566254,22.4
F1-B1,F1,B1,0.543824,0.4029414567634386,0.542618579013919,0.49314638318921,1.9
F1-B2,F1,B2,0.515139,0.26233153633406725,0.6841618989836671,0.5230927513206214,30.2
F1-F1,F1,F1,0,0.2581417683592666,0.44268336372545464,0.34664866850658216,0
F1-F2,F1,F2,0.448256,0.27115965698959826,0.48536609924966095,0.3651553433710393,3.9
